X--Trace 1::[I(C2:1) | I(PR2)];Y--Trace 1::[I(C2:1) | I(PR2)];;X--Trace 2::[V(out2) | V(PR1)];Y--Trace 2::[V(out2) | V(PR1)]
1.02172E-05;-0.007349119;;1.02172E-05;9.931342769
1.02182E-05;-0.00734912;;1.02182E-05;9.92800226
1.02192E-05;-0.007349121;;1.02192E-05;9.924661751
1.02202E-05;-0.007349122;;1.02202E-05;9.921321241
1.02212E-05;-0.007349123;;1.02212E-05;9.917980731
1.02222E-05;-0.007349124;;1.02222E-05;9.914640221
1.02232E-05;-0.007349125;;1.02232E-05;9.91129971
1.02242E-05;-0.007349125;;1.02242E-05;9.907959199
1.02252E-05;-0.007349126;;1.02252E-05;9.904618687
1.02262E-05;-0.007349127;;1.02262E-05;9.901278175
1.02272E-05;-0.007349128;;1.02272E-05;9.897937662
1.02282E-05;-0.007349129;;1.02282E-05;9.894597149
1.02292E-05;-0.00734913;;1.02292E-05;9.891256636
1.02302E-05;-0.007349131;;1.02302E-05;9.887916122
1.02312E-05;-0.007349132;;1.02312E-05;9.884575608
1.02322E-05;-0.007349133;;1.02322E-05;9.881235093
1.02332E-05;-0.007349133;;1.02332E-05;9.877894578
1.02342E-05;-0.007349134;;1.02342E-05;9.874554063
1.02352E-05;-0.007349135;;1.02352E-05;9.871213547
1.02362E-05;-0.007349136;;1.02362E-05;9.867873031
1.02372E-05;-0.007349137;;1.02372E-05;9.864532514
1.02382E-05;-0.007349138;;1.02382E-05;9.861191997
1.02392E-05;-0.007349139;;1.02392E-05;9.85785148
1.02402E-05;-0.007349139;;1.02402E-05;9.854510962
1.02412E-05;-0.00734914;;1.02412E-05;9.851170444
1.02422E-05;-0.007349141;;1.02422E-05;9.847829925
1.02432E-05;-0.007349142;;1.02432E-05;9.844489407
1.02442E-05;-0.007349143;;1.02442E-05;9.841148887
1.02452E-05;-0.007349144;;1.02452E-05;9.837808368
1.02462E-05;-0.007349144;;1.02462E-05;9.834467848
1.02472E-05;-0.007349145;;1.02472E-05;9.831127327
1.02482E-05;-0.007349146;;1.02482E-05;9.827786807
1.02492E-05;-0.007349147;;1.02492E-05;9.824446286
1.02502E-05;-0.007349147;;1.02502E-05;9.821105764
1.02512E-05;-0.007349148;;1.02512E-05;9.817765243
1.02522E-05;-0.007349149;;1.02522E-05;9.81442472
1.02532E-05;-0.00734915;;1.02532E-05;9.811084198
1.02542E-05;-0.007349151;;1.02542E-05;9.807743675
1.02552E-05;-0.007349151;;1.02552E-05;9.804403152
1.02562E-05;-0.007349152;;1.02562E-05;9.801062628
1.02572E-05;-0.007349153;;1.02572E-05;9.797722105
1.02582E-05;-0.007349154;;1.02582E-05;9.79438158
1.02592E-05;-0.007349154;;1.02592E-05;9.791041056
1.02602E-05;-0.007349155;;1.02602E-05;9.787700531
1.02612E-05;-0.007349156;;1.02612E-05;9.784360006
1.02622E-05;-0.007349157;;1.02622E-05;9.78101948
1.02632E-05;-0.007349157;;1.02632E-05;9.777678955
1.02642E-05;-0.007349158;;1.02642E-05;9.774338428
1.02652E-05;-0.007349159;;1.02652E-05;9.770997902
1.02662E-05;-0.007349159;;1.02662E-05;9.767657375
1.02672E-05;-0.00734916;;1.02672E-05;9.764316848
1.02682E-05;-0.007349161;;1.02682E-05;9.76097632
1.02692E-05;-0.007349161;;1.02692E-05;9.757635793
1.02702E-05;-0.007349162;;1.02702E-05;9.754295265
1.02712E-05;-0.007349163;;1.02712E-05;9.750954736
1.02722E-05;-0.007349163;;1.02722E-05;9.747614208
1.02732E-05;-0.007349164;;1.02732E-05;9.744273679
1.02742E-05;-0.007349165;;1.02742E-05;9.740933149
1.02752E-05;-0.007349165;;1.02752E-05;9.73759262
1.02762E-05;-0.007349166;;1.02762E-05;9.73425209
1.02772E-05;-0.007349167;;1.02772E-05;9.73091156
1.02782E-05;-0.007349167;;1.02782E-05;9.727571029
1.02792E-05;-0.007349168;;1.02792E-05;9.724230498
1.02802E-05;-0.007349169;;1.02802E-05;9.720889967
1.02812E-05;-0.007349169;;1.02812E-05;9.717549436
1.02822E-05;-0.00734917;;1.02822E-05;9.714208904
1.02832E-05;-0.007349171;;1.02832E-05;9.710868372
1.02842E-05;-0.007349171;;1.02842E-05;9.70752784
1.02852E-05;-0.007349172;;1.02852E-05;9.704187308
1.02862E-05;-0.007349172;;1.02862E-05;9.700846775
1.02872E-05;-0.007349173;;1.02872E-05;9.697506242
1.02882E-05;-0.007349174;;1.02882E-05;9.694165708
1.02892E-05;-0.007349174;;1.02892E-05;9.690825175
1.02902E-05;-0.007349175;;1.02902E-05;9.687484641
1.02912E-05;-0.007349175;;1.02912E-05;9.684144107
1.02922E-05;-0.007349176;;1.02922E-05;9.680803572
1.02932E-05;-0.007349177;;1.02932E-05;9.677463038
1.02942E-05;-0.007349177;;1.02942E-05;9.674122503
1.02952E-05;-0.007349178;;1.02952E-05;9.670781968
1.02962E-05;-0.007349178;;1.02962E-05;9.667441432
1.02972E-05;-0.007349179;;1.02972E-05;9.664100897
1.02982E-05;-0.007349179;;1.02982E-05;9.660760361
1.02992E-05;-0.00734918;;1.02992E-05;9.657419824
1.03002E-05;-0.00734918;;1.03002E-05;9.654079288
1.03012E-05;-0.007349181;;1.03012E-05;9.650738751
1.03022E-05;-0.007349181;;1.03022E-05;9.647398214
1.03032E-05;-0.007349182;;1.03032E-05;9.644057677
1.03042E-05;-0.007349183;;1.03042E-05;9.64071714
1.03052E-05;-0.007349183;;1.03052E-05;9.637376602
1.03062E-05;-0.007349184;;1.03062E-05;9.634036064
1.03072E-05;-0.007349184;;1.03072E-05;9.630695526
1.03082E-05;-0.007349185;;1.03082E-05;9.627354988
1.03092E-05;-0.007349185;;1.03092E-05;9.624014449
1.03102E-05;-0.007349186;;1.03102E-05;9.620673911
1.03112E-05;-0.007349186;;1.03112E-05;9.617333372
1.03122E-05;-0.007349187;;1.03122E-05;9.613992832
1.03132E-05;-0.007349187;;1.03132E-05;9.610652293
1.03142E-05;-0.007349188;;1.03142E-05;9.607311753
1.03152E-05;-0.007349188;;1.03152E-05;9.603971213
1.03162E-05;-0.007349188;;1.03162E-05;9.600630673
1.03172E-05;-0.007349189;;1.03172E-05;9.597290133
1.03182E-05;-0.007349189;;1.03182E-05;9.593949592
1.03192E-05;-0.00734919;;1.03192E-05;9.590609052
1.03202E-05;-0.00734919;;1.03202E-05;9.587268511
1.03212E-05;-0.007349191;;1.03212E-05;9.58392797
1.03222E-05;-0.007349191;;1.03222E-05;9.580587428
1.03232E-05;-0.007349192;;1.03232E-05;9.577246887
1.03242E-05;-0.007349192;;1.03242E-05;9.573906345
1.03252E-05;-0.007349192;;1.03252E-05;9.570565803
1.03262E-05;-0.007349193;;1.03262E-05;9.567225261
1.03272E-05;-0.007349193;;1.03272E-05;9.563884719
1.03282E-05;-0.007349194;;1.03282E-05;9.560544176
1.03292E-05;-0.007349194;;1.03292E-05;9.557203633
1.03302E-05;-0.007349195;;1.03302E-05;9.553863091
1.03312E-05;-0.007349195;;1.03312E-05;9.550522547
1.03322E-05;-0.007349195;;1.03322E-05;9.547182004
1.03332E-05;-0.007349196;;1.03332E-05;9.543841461
1.03342E-05;-0.007349196;;1.03342E-05;9.540500917
1.03352E-05;-0.007349196;;1.03352E-05;9.537160373
1.03362E-05;-0.007349197;;1.03362E-05;9.53381983
1.03372E-05;-0.007349197;;1.03372E-05;9.530479285
1.03382E-05;-0.007349198;;1.03382E-05;9.527138741
1.03392E-05;-0.007349198;;1.03392E-05;9.523798197
1.03402E-05;-0.007349198;;1.03402E-05;9.520457652
1.03412E-05;-0.007349199;;1.03412E-05;9.517117107
1.03422E-05;-0.007349199;;1.03422E-05;9.513776562
1.03432E-05;-0.007349199;;1.03432E-05;9.510436017
1.03442E-05;-0.0073492;;1.03442E-05;9.507095472
1.03452E-05;-0.0073492;;1.03452E-05;9.503754927
1.03462E-05;-0.0073492;;1.03462E-05;9.500414381
1.03472E-05;-0.007349201;;1.03472E-05;9.497073835
1.03482E-05;-0.007349201;;1.03482E-05;9.49373329
1.03492E-05;-0.007349201;;1.03492E-05;9.490392744
1.03502E-05;-0.007349202;;1.03502E-05;9.487052198
1.03512E-05;-0.007349202;;1.03512E-05;9.483711651
1.03522E-05;-0.007349202;;1.03522E-05;9.480371105
1.03532E-05;-0.007349203;;1.03532E-05;9.477030558
1.03542E-05;-0.007349203;;1.03542E-05;9.473690012
1.03552E-05;-0.007349203;;1.03552E-05;9.470349465
1.03562E-05;-0.007349203;;1.03562E-05;9.467008918
1.03572E-05;-0.007349204;;1.03572E-05;9.463668371
1.03582E-05;-0.007349204;;1.03582E-05;9.460327824
1.03592E-05;-0.007349204;;1.03592E-05;9.456987276
1.03602E-05;-0.007349205;;1.03602E-05;9.453646729
1.03612E-05;-0.007349205;;1.03612E-05;9.450306181
1.03622E-05;-0.007349205;;1.03622E-05;9.446965633
1.03632E-05;-0.007349205;;1.03632E-05;9.443625086
1.03642E-05;-0.007349206;;1.03642E-05;9.440284538
1.03652E-05;-0.007349206;;1.03652E-05;9.43694399
1.03662E-05;-0.007349206;;1.03662E-05;9.433603441
1.03672E-05;-0.007349206;;1.03672E-05;9.430262893
1.03682E-05;-0.007349207;;1.03682E-05;9.426922345
1.03692E-05;-0.007349207;;1.03692E-05;9.423581796
1.03702E-05;-0.007349207;;1.03702E-05;9.420241248
1.03712E-05;-0.007349207;;1.03712E-05;9.416900699
1.03722E-05;-0.007349207;;1.03722E-05;9.41356015
1.03732E-05;-0.007349208;;1.03732E-05;9.410219601
1.03742E-05;-0.007349208;;1.03742E-05;9.406879052
1.03752E-05;-0.007349208;;1.03752E-05;9.403538503
1.03762E-05;-0.007349208;;1.03762E-05;9.400197954
1.03772E-05;-0.007349209;;1.03772E-05;9.396857405
1.03782E-05;-0.007349209;;1.03782E-05;9.393516855
1.03792E-05;-0.007349209;;1.03792E-05;9.390176306
1.03802E-05;-0.007349209;;1.03802E-05;9.386835756
1.03812E-05;-0.007349209;;1.03812E-05;9.383495207
1.03822E-05;-0.007349209;;1.03822E-05;9.380154657
1.03832E-05;-0.00734921;;1.03832E-05;9.376814107
1.03842E-05;-0.00734921;;1.03842E-05;9.373473557
1.03852E-05;-0.00734921;;1.03852E-05;9.370133007
1.03862E-05;-0.00734921;;1.03862E-05;9.366792457
1.03872E-05;-0.00734921;;1.03872E-05;9.363451907
1.03882E-05;-0.00734921;;1.03882E-05;9.360111357
1.03892E-05;-0.007349211;;1.03892E-05;9.356770807
1.03902E-05;-0.007349211;;1.03902E-05;9.353430257
1.03912E-05;-0.007349211;;1.03912E-05;9.350089706
1.03922E-05;-0.007349211;;1.03922E-05;9.346749156
